Poster_Url,poster_path,download_status,download_error,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_format,poster_validation_error
https://image.tmdb.org/t/p/original/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,data/poster_cache/291e64d855b38c2afe34b0ba70aa7a2b405390f47124717f20ee37f3852970fa.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg,data/poster_cache/fb7886539b4ff71919384005ea6b0b553933195083d369807d1f7ce4d4869dfc.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,data/poster_cache/3eb3b412c772a96bece0f3035c969a405cb792f9cd33c38e9bc43630d71d9730.jpg,cached,,True,520,780,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,data/poster_cache/01b9b2d822f950a1f1c09730dc49ca77957914c52e31ae74dca6b49b0d8c8587.jpg,cached,,True,2000,2965,0.6745362563237775,JPEG,
https://image.tmdb.org/t/p/original/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,data/poster_cache/e4644cf0aa50c1edf2e3761f9c282d36ee9b59ada823a0b1f2e69a6056572503.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/uQt2dJFMnJmAp9zLAWNfGilK0BW.jpg,data/poster_cache/4f9b9757e328a5da4515d85802acc4e893373def528ea4c3d099615d1921b9ae.jpg,cached,,True,1900,2850,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/daeVrgyj0ue8qb3AHyU3UeCwoZz.jpg,data/poster_cache/d8f896b226b515a04020f8e5397caae65c294a68523eaee09bd129f02ddf5856.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,data/poster_cache/a3b3be7008138d3d337d0ec3a8f5987afe82f81a8210b77604f79853ab4eb5eb.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/kvhrltQIRp1u84ao9uj52YPaWNY.jpg,data/poster_cache/d24d68851a028746c5824be9b0f8f5b69b67ec9ed47e8e333799fe532f7bf415.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,data/poster_cache/a494c9ce70f7e9c7b2059b01ddcc8b0de38fb9622d5483eac79ac3285572691a.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg,data/poster_cache/816c061f799e24f6dc040145ad8a52ec4b8c56ce87388e90a23a1f3c97f12b40.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg,data/poster_cache/cd27859cfbea6e9864deaf2bdb8c2f9f3a12976372b131e16b7e63f07816b659.jpg,cached,,True,1500,2222,0.6750675067506751,JPEG,
https://image.tmdb.org/t/p/original/k0ThmZQl5nHe4JefC2bXjqtgYp0.jpg,data/poster_cache/55791fa77a900b06c26b0c5935b4c7f7b73d6ebc9244b5c0b00bced7da03c419.jpg,cached,,True,1500,2250,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/3OXiTjU30gWtqxmx4BU9RVp2OTv.jpg,data/poster_cache/870fc49ca6eaea025eed62f3c30387c3bc171cef1794b8be0b9418810ea76d4f.jpg,cached,,True,1438,2110,0.6815165876777252,JPEG,
https://image.tmdb.org/t/p/original/muIaHotSaSUQr0KZCIJOYQEe7y2.jpg,data/poster_cache/a43eb1a514649a232bec268d05016df7ac9c9451d60f92ada82459b2e4837198.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
